eco_number,eco_title,eco_description,eco_status,part_number,current_revision,new_revision,affected_bom_level,change_type,change_detail
ECO-1001,Wheel weight reduction,Replace spokes with lighter alloy,IN_WORK,WHL-001,A,B,1,DESIGN,Use aluminum spokes
ECO-1002,Frame geometry update,Adjust top tube angle,APPROVED,FRM-001,A,B,1,DESIGN,Steeper head angle
ECO-1003,Tire compound change,Improve grip in wet conditions,DRAFT,TYR-001,A,B,2,MATERIAL,Softer compound
ECO-1004,Hub bearing upgrade,Sealed cartridge bearings,IN_WORK,HUB-001,A,B,2,DESIGN,Replace loose ball
ECO-1005,Brake pad material,Switch to organic pads,DRAFT,BRK-001,A,B,1,MATERIAL,Low noise
ECO-1006,Saddle comfort,Add gel insert,APPROVED,SADC-001,A,B,1,DESIGN,Wider shell
ECO-1007,Handlebar width,Offer 420mm option,DRAFT,HNDL-001,A,B,1,DESIGN,New width
ECO-1008,Chain coating,Anti-rust plating,IN_WORK,CHN-001,A,B,1,MATERIAL,Zinc plate
ECO-1009,Full bike recall,Address frame weld defect,OPEN,BB-001,A,B,0,DESIGN,Re-weld jig
ECO-1010,Spoke count,Reduce to 28,DRAFT,SPK-001,A,B,2,DESIGN,28h pattern
