part_number,part_revision,part_name,manufacturer_name,manufacturer_part_number,manufacturer_status,source_type,preferred_flag,lead_time_days,unit_cost,currency
WHL-001,A,Wheel,Acme Wheels,ACW-1001,APPROVED,PURCHASED,Yes,14,38.50,USD
FRM-001,A,Frame,CarbonWorks,CW-FRM-01,APPROVED,FABRICATED,Yes,30,98.00,USD
SPK-001,A,Spoke,SpokeCo,SC-32,APPROVED,PURCHASED,No,21,0.42,USD
TYR-001,A,Tire,RubberMax,RM-TYR1,APPROVED,PURCHASED,Yes,10,12.75,USD
HUB-001,A,Hub,HubTech,HT-200,APPROVED,PURCHASED,No,18,28.00,USD
BRK-001,A,Brake,StopSafe,SS-BRK,APPROVED,PURCHASED,Yes,12,45.00,USD
SADC-001,A,Saddle,ComfortCo,CC-SAD,APPROVED,PURCHASED,No,15,33.00,USD
HNDL-001,A,Handlebar,BarMakers,BM-HND,APPROVED,FABRICATED,No,20,26.00,USD
CHN-001,A,Chain,ChainPro,CP-001,APPROVED,PURCHASED,Yes,9,15.50,USD
BB-001,A,Bicycle,InHouse,IH-BB,APPROVED,FABRICATED,Yes,0,190.00,USD
