part_number,part_revision,part_name,status,cad_file_name,cad_file_format,cad_system,cad_version,file_reference_type,file_reference_url,file_size_bytes,drawing_number,model_type,source_type
WHL-001,A,Wheel,RELEASED,wheel_asm.SLDASM,sldasm,SOLIDWORKS,2024,ASSEMBLY,https://cad.local/wheel_asm,524288,dwg-100,ASSEMBLY,FABRICATED
FRM-001,A,Frame,RELEASED,frame.SLDPRT,sldprt,SOLIDWORKS,2024,PART,https://cad.local/frame,262144,dwg-101,PART,FABRICATED
SPK-001,A,Spoke,RELEASED,spoke.SLDPRT,sldprt,SOLIDWORKS,2024,PART,https://cad.local/spoke,131072,dwg-102,PART,PURCHASED
TYR-001,A,Tire,RELEASED,tire.STEP,step,CATIA,2023,PART,https://cad.local/tire,196608,dwg-103,PART,PURCHASED
HUB-001,A,Hub,RELEASED,hub.SLDPRT,sldprt,SOLIDWORKS,2024,PART,https://cad.local/hub,98304,dwg-104,PART,PURCHASED
BRK-001,A,Brake,RELEASED,brake_asm.SLDASM,sldasm,SOLIDWORKS,2024,ASSEMBLY,https://cad.local/brake,393216,dwg-105,ASSEMBLY,PURCHASED
SADC-001,A,Saddle,RELEASED,saddle.SLDPRT,sldprt,INVENTOR,2023,PART,https://cad.local/saddle,147456,dwg-106,PART,PURCHASED
HNDL-001,A,Handlebar,RELEASED,handlebar.SLDPRT,sldprt,INVENTOR,2023,PART,https://cad.local/hbar,110592,dwg-107,PART,FABRICATED
CHN-001,A,Chain,RELEASED,chain.STEP,step,CATIA,2023,PART,https://cad.local/chain,73728,dwg-108,PART,PURCHASED
BB-001,A,Bicycle,RELEASED,bicycle_asm.SLDASM,sldasm,SOLIDWORKS,2024,ASSEMBLY,https://cad.local/bicycle,1048576,dwg-109,ASSEMBLY,FABRICATED
