part_number,part_revision,part_name,vendor_name,vendor_site,vendor_contact,vendor_part_number,vendor_status,preferred_flag,lead_time_days,unit_price,currency,min_order_qty,moq_uom
WHL-001,A,Wheel,Global Supply,US-West,orders@globalsupply.com,GS-W100,APPROVED,Yes,14,36.00,USD,50,ea
FRM-001,A,Frame,CarbonWorks Direct,EU-Central,sales@carbonworks.com,CW-D01,APPROVED,Yes,30,95.00,USD,10,ea
SPK-001,A,Spoke,SpokeCo,US-East,hi@spokeco.com,SC-32B,APPROVED,No,21,0.40,USD,500,ea
TYR-001,A,Tire,RubberMax,APAC,info@rubbermax.com,RM-T2,APPROVED,Yes,10,11.50,USD,100,ea
HUB-001,A,Hub,HubTech,US-Midwest,ops@hubtech.com,HT-201,APPROVED,No,18,26.00,USD,25,ea
BRK-001,A,Brake,StopSafe,EMEA,eu@stopsafe.com,SS-BR2,APPROVED,Yes,12,43.00,USD,40,ea
SADC-001,A,Saddle,ComfortCo,US-South,cs@comfortco.com,CC-S2,APPROVED,No,15,31.00,USD,30,ea
HNDL-001,A,Handlebar,BarMakers,US-West,sales@barmakers.com,BM-H2,APPROVED,No,20,24.00,USD,20,ea
CHN-001,A,Chain,ChainPro,ASIA,asia@chainpro.com,CP-002,APPROVED,Yes,9,14.00,USD,200,ea
BB-001,A,Bicycle,InHouse Logistics,Local,logistics@inhouse.com,IH-L01,APPROVED,Yes,0,185.00,USD,5,ea
