part_number,level,qty,uom,material_cost,labor_cost,overhead_cost,machining_cost,unit_cost,extended_cost,rolled_total,cost_type
BB-001,0,1,ea,200.00,150.00,50.00,30.00,430.00,430.00,430.00,ASSEMBLY
WHL-001,1,2,ea,40.00,20.00,10.00,5.00,75.00,150.00,150.00,LEAF
FRM-001,1,1,ea,120.00,60.00,20.00,15.00,215.00,215.00,215.00,LEAF
SPK-001,2,32,ea,0.50,0.10,0.05,0.02,0.67,21.44,21.44,LEAF
TYR-001,2,1,ea,15.00,2.00,1.00,0.50,18.50,18.50,18.50,LEAF
HUB-001,2,1,ea,25.00,5.00,2.00,1.00,33.00,33.00,33.00,LEAF
BRK-001,1,2,ea,30.00,15.00,5.00,3.00,53.00,106.00,106.00,LEAF
SADC-001,1,1,ea,35.00,5.00,2.00,1.00,43.00,43.00,43.00,LEAF
HNDL-001,1,1,ea,18.00,8.00,3.00,2.00,31.00,31.00,31.00,LEAF
CHN-001,1,1,ea,12.00,3.00,1.00,1.00,17.00,17.00,17.00,LEAF
